date,tags
2013-10-21 04:06:00 GMT,"earthdragon1, deancas, destiel, hurt!dean, hurt/comfort, drabble"
2013-10-20 23:38:00 GMT,"hermann gottlieb, newton geiszler, fanfiction, newmann, hurt/comfort, inspired by art, sohoartist"
2013-10-18 19:22:52 GMT,"supernatural, destiel, hurt!dean, hurt/comfort, someone PLEASE, writing, fanfiction"
2013-10-18 16:09:00 GMT,"sterek fic rec, canon divergence, deaf!derek, hurt/comfort, 10k - 50k, teen and up"
2013-10-17 03:25:45 GMT,"random thoughts, hurt/comfort, fanfics, love"
2013-10-17 01:50:44 GMT,"restart the heart you gave me, author: crucios, pairing: liam/louis, non au, hurt/comfort, warning: self harm, warning: depression, fic rec, wordcount: 10k to 50k"
2013-10-16 14:22:40 GMT,"sterek, post season 3A, mental illness, hurt/comfort"
2013-10-16 13:39:02 GMT,"supernatural, destiel, fic rec, hurt/comfort, human!cas"
2013-10-16 11:30:00 GMT,"supernatural, destiel, hurt/comfort, angst, humor, jealous!Dean, robots, robot!cas, FAVORITE, slow build, epic, au, komodobits, C-S-T-L, r"
2013-10-15 21:10:32 GMT,"build a nest for us to sleep in, author: blackwayfarers, pairing: liam/louis, non au, hurt/comfort, fic rec, wordcount: 10k to 50k"
2013-10-15 18:26:03 GMT,"johnlock, fanfiction, BBC Sherlock, hurt/comfort, ao3"
2013-10-15 09:45:36 GMT,"prompt fill, steter, peterstiles, nuci-girl, hurt/comfort, slight mentions of torture, kidnapping aftermath, mar tried writing"
2013-10-14 22:21:30 GMT,"my love is as a fever, author: harrietvane, pairing: liam/louis, non au, hurt/comfort, fic rec, wordcount: 10k to 50k"
2013-10-13 14:54:49 GMT,"drabble, ayakashi ghost guild, ayakashi, ayakashi: ghost guild, hurt/comfort, divina"
2013-10-12 13:02:37 GMT,"silver fox saturday, My fic, johnstrade, hurt/comfort"
2013-10-11 14:58:34 GMT,"Breaking Bad, Bryan Cranston, Aaron Paul, hurt/comfort, Walter White, Jesse Pinkman, walt x jesse"
2013-10-11 10:12:43 GMT,"date masamune, sanada yukimura, sengoku basara, datesana, hurt/comfort"
2013-10-11 04:23:40 GMT,"deancas, destiel, hurt/comfort, please it's like the sweetest thing, drabble, sigh"
2013-10-09 18:09:00 GMT,"Bucky Barnes, Clint Barton, Natasha Romanov, Fanfiction, hurt/comfort, feels, oh why do I do this to my beloved characters..."
2013-10-09 01:16:50 GMT,"sterek, hurt stiles, hurt/comfort, back from the dead, werewolf stiles, hunters"
2013-10-06 16:45:00 GMT,"newsies, javid, hurt/comfort, jack kelly, david jacobs, tw character death, nobodytoldthehorse"
2013-10-02 13:44:00 GMT,"fanfiction, fanfic rec, destiel, sabriel, hurt/comfort, slash, SPN fanfic, destiel fanfic, sabriel fanfic"
2013-10-01 06:01:26 GMT,"Hours Of Folly, veronamay, Johnlock, 900+ words, hurt/comfort"
2013-10-01 01:17:16 GMT,"sterek, hard angst, hurt/comfort, hurt stiles, derek feels, jennifer blake"
2013-09-29 06:33:01 GMT,"teen wolf, scisaac, mine, hurt/comfort, self-harm"
2013-09-29 03:41:54 GMT,"Gamzee Makara, Karkat Vantas, GamKar, Splickedydoodles, hurt/comfort, TW: blood, blood, He's not gutted or anything he's just bleeding a lot, and nastily bruised, what happened to him?, we just don't know., :/, ~Special Grey Snowflake~, Splickedywrit"
2013-09-28 17:54:11 GMT,"Kogan, Not Mine, Hurt/Comfort, Drama, Spanish"
2013-09-28 00:26:44 GMT,"Cabin Pressure, Martin Crieff, Arthur Shappey, Cabin Pressure Fic, Hurt/Comfort"
2013-09-27 19:39:21 GMT,"prucan, prucan canon, prucan complete, prucan m, hurt/comfort, romance"
2013-09-27 19:02:57 GMT,"fic rec, childhood friends, magic!stiles, anchor, hurt/comfort, bed sharing, scent marking, werewolf reveal, preslash, hale family, time lapse, scott brotp, jackson brotp, bamf!stiles, artist!derek, high school, lydia brotp, danny brotp, clothes sharing, teen!derek, young!stiles, best friends, teen up, count: under 50k, series wip, one shot"
2013-09-26 03:46:20 GMT,"hurt!derek, hurt/comfort, if you like hurt stiles this is for you, seriously, angst and feels, hurt!stiles"
2013-09-25 22:34:00 GMT,"caaron, caaron philstopherson, bee uses her words, hurt/comfort, disturbancedive, i hope you're tracking your new url mister, also hi guys, i'm not dead, maybe"
2013-09-22 20:15:00 GMT,"klaine, klaine fic, my fic, future!fic, hurt/comfort, character death, kids, echo, fic:echo"
2013-09-22 19:15:00 GMT,"ANON, Y U AWSOME, destiel, hurt/comfort, supernatural, reply, laura gets personal, for lamppu, sort of, i guess, gghöööp"
2013-09-22 14:30:53 GMT,"hurt/comfort, hurt/complain, writing, writer, doctor"
2013-09-21 07:37:32 GMT,"britpick, Cabin Pressure, Martin Crieff, Arthur Shappey, Hurt/Comfort"
2013-09-20 18:31:16 GMT,"avengers, natasha romanov, loki, hurt/comfort, smut, dom/sub, mention of suicide, aftermath of torture, fic rec, fanfic, fic, marvel"
2013-09-20 14:02:00 GMT,"usuk, usuk au, usuk t, angst, hurt/comfort, usuk illness"
2013-09-18 06:01:33 GMT,"usuk, usuk complete, usuk au, hurt/comfort, romance, usuk t, usuk criminal"
2013-09-17 16:04:10 GMT,"McDanno, hurt/comfort, Tkeyla"
